datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,AE,AECO,1037.527,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4730.888,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPIMP,3288.725,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPKPT,690.122,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,AEP,AEPOPT,8026.675,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,AP,AP,6199.927,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,BC,BC,3567.083,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,CE,CE,10584.718,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,DAY,DAY,1886.738,False
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,DEOK,DEOK,2815.768,False
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,SERC,SOUTH,DOM,DOM,16261.788,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,2328.084,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,DUQ,DUQ,1468.334,False
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,DPL,EASTON,31.961,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,SERC,WEST,EKPC,EKPC,1871.812,False
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,JC,JC,2477.383,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,ME,ME,1707.938,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,ATSI,OE,6919.071,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,OVEC,OVEC,48.000,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,WEST,ATSI,PAPWR,540.790,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,PE,PE,4400.274,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2734.689,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,PL,PLCO,4681.625,False
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,PN,PN,1922.628,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,PS,PS,4750.645,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,RECO,RECO,148.699,False
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,PEP,SMECO,486.146,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,PL,UGI,130.776,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RFC,MIDATL,AE,VMEU,74.177,True
1/1/2026 5:00:00 AM,1/1/2026 12:00:00 AM,RTO,RTO,RTO,RTO,95812.991,False
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,AE,AECO,999.550,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4669.062,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPIMP,3230.261,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPKPT,679.153,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,AEP,AEPOPT,7997.217,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,AP,AP,6103.463,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,BC,BC,3507.044,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,CE,CE,10393.242,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,DAY,DAY,1876.745,False
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,DEOK,DEOK,2759.998,False
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,SERC,SOUTH,DOM,DOM,16021.736,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,2263.182,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,DUQ,DUQ,1452.232,False
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,DPL,EASTON,30.944,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,SERC,WEST,EKPC,EKPC,1909.329,False
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,JC,JC,2384.089,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,ME,ME,1660.689,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,ATSI,OE,6783.364,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,OVEC,OVEC,43.000,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,WEST,ATSI,PAPWR,540.734,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,PE,PE,4282.829,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2699.990,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,PL,PLCO,4566.869,False
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,PN,PN,1859.531,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,PS,PS,4645.872,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,RECO,RECO,143.145,False
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,PEP,SMECO,472.276,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,PL,UGI,125.747,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RFC,MIDATL,AE,VMEU,72.560,True
1/1/2026 6:00:00 AM,1/1/2026 1:00:00 AM,RTO,RTO,RTO,RTO,94173.853,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,AE,AECO,970.511,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4622.537,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPIMP,3225.265,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPKPT,672.060,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,AEP,AEPOPT,8057.950,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,AP,AP,6035.214,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,BC,BC,3444.155,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,CE,CE,10315.064,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,DAY,DAY,1872.747,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,DEOK,DEOK,2700.211,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,SERC,SOUTH,DOM,DOM,15774.237,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,2207.984,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,DUQ,DUQ,1435.733,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,DPL,EASTON,30.442,True
