"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT06","WT11"
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-04",,,"0.03",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-07",,,"1.08",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-09",,,"0.24",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-10",,,"3.00",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-24",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-25",,,"0.18",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-26",,,"0.08",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-27",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-28",,,"1.29",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-29",,,"0.19",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-30",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-01-31",,,"0.02",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-01",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-02",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-03",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-04",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-05",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-06",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-07",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-08",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-09",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-10",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-11",,,"0.14",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-12",,,"0.25",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-13",,,"0.92",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-14",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-15",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-16",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-17",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-18",,,"0.07",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-19",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-20",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-21",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-22",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-23",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-24",,,"0.12",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-25",,,"0.36",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-26",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-27",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-02-28",,,"0.22",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-01",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-05","    4","1.17",,,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-07",,,"0.25",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-09",,,"0.22",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-23",,,"0.99",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-24",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-25",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-26",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-27",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-28",,,"0.47",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-29",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-30",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-03-31",,,"0.04",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-01",,,"0.05",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-02",,,"0.19",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-03",,,"0.20",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-04",,,"0.67",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-05",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-09",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-10",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-11",,,"0.00",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-12",,,"0.57",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-13",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-14",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-15",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-04-16",,,"0.04",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-01",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-02",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-03",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-05","    2","1.13",,,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-06",,,"0.06",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-07",,,"0.36",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-08",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-09",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-10",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-11",,,"0.03",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-12",,,"0.23",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-13",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-14",,,"0.13",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-15",,,"0.72",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-16",,,"0.04",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-17",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-18",,,"1.61",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-19",,,"0.08",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-25",,,"0.03",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-26",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-27",,,"0.63",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-28",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-29",,,"0.02",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-30",,,"0.67",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-05-31",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-01",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-02",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-03",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-04",,,"0.05",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-05",,,"0.02",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-06",,,"0.23",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-07",,,"0.04",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-08",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-09",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-10",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-11",,,"0.12",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-15",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-16",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-17",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-18",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-19",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-20",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-21",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-22",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-23",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-24",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-25",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-26",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-27",,,"0.65",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-28",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-29",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-06-30",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-01",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-02",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-03",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-04",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-05",,,"1.00",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-06",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-07",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-08",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-09",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-10",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-11",,,"0.06",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-12",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-13",,,"0.23",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-14",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-15",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-16",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-17",,,"0.08",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-18",,,"0.24",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-19",,,"0.10",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-20",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-21",,,"0.05",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-22",,,"1.83",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-23",,,"0.08",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-24",,,"1.18",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-25",,,"0.05",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-30",,,"0.16",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-07-31",,,"0.11",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-01",,,"0.00",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-02",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-03",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-04",,,"0.06",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-05",,,"0.05",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-06",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-07",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-08",,,"0.08",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-09",,,"3.55",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-18",,,"0.03",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-20",,,"0.03",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-21",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-22",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-23",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-24",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-25",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-26",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-27",,,"0.66",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-28",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-29",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-30",,,"0.08",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-08-31",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-01",,,"0.90",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-02",,,"0.13",,,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-03",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-04",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-05",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-06",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-07",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-08",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-09",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-10",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-11",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-12",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-13",,,"0.00","0.0",,,,,,,,,,,
"US1VACRC002","CHARLOTTESVILLE 0.5 NNE, VA US","2024-09-14",,,"0.00","0.0",,,,,,,,,,,
