beginning_est_in_datetime,mw,PRCP,TMIN,TMAX,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,lag_1,lag_2,lag_24,lag_48,lag_168
2024-01-08 00:00:00-05:00,13422.199,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13717.329,14143.233,14219.113,15537.692,13553.438
2024-01-08 01:00:00-05:00,13386.288,0.0,29.0,49.333333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13422.199,13717.329,14148.764,15310.903,13455.698
2024-01-08 02:00:00-05:00,13402.781,0.0,29.0,49.333333333333336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13386.288,13422.199,14052.406,15203.21,13325.136
2024-01-08 03:00:00-05:00,13702.942,0.0,29.0,49.333333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13402.781,13386.288,14079.011,15063.314,13302.83
2024-01-08 04:00:00-05:00,14239.843,0.0,29.0,49.333333333333336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13702.942,13402.781,14177.716,15067.077,13453.881
2024-01-08 05:00:00-05:00,15218.345,0.0,29.0,49.333333333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14239.843,13702.942,14413.866,15152.054,13729.76
2024-01-08 06:00:00-05:00,16494.162,0.0,29.0,49.333333333333336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15218.345,14239.843,14713.431,15398.836,14038.309
2024-01-08 07:00:00-05:00,17221.449,0.0,29.0,49.333333333333336,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16494.162,15218.345,15034.924,15598.676,14243.496
2024-01-08 08:00:00-05:00,16831.886,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17221.449,16494.162,15245.976,15790.681,14301.12
2024-01-08 09:00:00-05:00,15711.554,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16831.886,17221.449,14897.557,16069.455,14225.585
2024-01-08 10:00:00-05:00,14814.552,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15711.554,16831.886,14061.23,16140.193,14154.2
2024-01-08 11:00:00-05:00,14258.291,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14814.552,15711.554,13452.732,16182.543,14146.338
2024-01-08 12:00:00-05:00,13834.152,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14258.291,14814.552,13126.753,16187.228,14126.998
2024-01-08 13:00:00-05:00,13442.167,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13834.152,14258.291,13009.36,16049.463,14130.245
2024-01-08 14:00:00-05:00,13239.349,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13442.167,13834.152,13198.648,15869.195,14175.814
2024-01-08 15:00:00-05:00,13496.687,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13239.349,13442.167,13524.147,15683.609,14425.343
2024-01-08 16:00:00-05:00,14263.848,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13496.687,13239.349,14034.957,15611.889,14959.991
2024-01-08 17:00:00-05:00,15470.036,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14263.848,13496.687,14811.416,15772.796,15576.219
2024-01-08 18:00:00-05:00,15835.579,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15470.036,14263.848,15026.274,15754.526,15641.51
2024-01-08 19:00:00-05:00,15977.982,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15835.579,15470.036,15048.165,15625.436,15515.132
2024-01-08 20:00:00-05:00,15907.373,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15977.982,15835.579,14934.673,15371.583,15292.7
2024-01-08 21:00:00-05:00,15651.663,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15907.373,15977.982,14636.95,15115.846,14972.684
2024-01-08 22:00:00-05:00,15151.674,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15651.663,15907.373,14143.233,14747.314,14416.998
2024-01-08 23:00:00-05:00,14641.099,0.0,29.0,49.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15151.674,15651.663,13717.329,14453.01,13944.768
2024-01-09 00:00:00-05:00,14365.752,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14641.099,15151.674,13422.199,14219.113,13660.659
